ID,FBO,PHONE,Email,FBO NOTES
KFMN,4 CORNERS,505-325-2867,pagefield@flylcpa.com,
KPGV,A/P AUTHORITY,252-758-4707,,
KOKC,AAR OKLAHOMA,405-218-3160,fbo@aarcorp.com,
KABR,Aberdeen Flying Svc,605-225-1384,afsbc@nvc.net,
KABI,ABILENE AERO,915-677-2601,csr@abileneaero.com,
KSGU,Above View Jet Center,435-688-8009,Data,
RKSI,ACC INTERNATIONAL AVIATION SERVICES,011 82 22661 9616,011 82 19 3212033,
KSJC,ACM,800-359-7538,,
KS24,ADVANCED AIR SVCS,419-547-0131,419-547-4312,
KCPR,AERO CARE,307-266-5129,,Phillips IntoPlane
MZBZ,AERO DISPATCH,501-22-52163,aerodispa@btl.net,*Rudy runs FBO - They can arrange ground ambulance/ also he will file the out going flight plan for pilots
KHKS,AERO JACKSON INC,601-948-8778,601-355-4032,
KIDA,AERO MARK,208-524-1202,,
SKBO,AERO SUPPORT,(57) 315 3444491 | (57) 315 342 9824,,
KILG,AERO TAXI,800-551-8555,302-328-6515,Use 800# for after hours
KMRB,AERO-SMITH,800-550-2507,304-262-2509,
SCEL,Aerocadal,56-2-3777475,56-2-3777402,Contact Fernando zamorano
CYQR,AEROCENTRE,800-667-7742,csr.yqr@yqraero.ca,
LFSD,Aerodijon,33-380-676-767,33-380-630-299,Contact Valerie
MRLM,Aerojet,011-506-381-1244/506-350-3263/506-350-3603,contactus@aerojet.co.cr,They need 24-36 hours notice-coming from other airports; http://www.aerojet.co.cr/contact.htm
SABE,AEROPARQUE,,,
PASI,AEROSERVICES,907-747-7222,,
SKCG,AEROSUPPORT,011-57-315-866-6696,operationsskcg@aerosupportfbo.com,
MMGL,AEROTRON,52-333-284-2300,gdl@aerotron.com.mx,After Hours: 52-322-226-8440
KSCK,AG SPANOS,209-982-1550,209-982-0305,
EPRZ,AHS HANDLING,48-732-695-493,rze@ahs.com.pl,
KAIK,AIKEN AVN ENTERPRISES,803-648-7803,803-648-7804,
KAFJ,AIR CHARTER SERVICE,724-222-1025,724-228-6275,
KHNZ,AIR COBRA,,,$2.78 / gallon retail
KJST,AIR EAST AVITAT,814-536-5103,814-536-3011,
KCGI,AIR EVAC AVIATION,573-335-6631,573-335-1973,Answering service 24hours
TNCB,AIR HANDLING SERVICES,011-599-796-5919/011-599-795-1848,info@ahsbonaire.com,
KMZZ,AIR MARION,765-674-7777,,
PHKO,AIR SERVICE HAWAII,808-334-0699,808-329-0781,
PHNL,AIR SERVICE HAWAII,808-839-5003,honolulu@airservicehawaii.com,
PHOG,AIR SERVICE HAWAII,800-578-8405,808-871-1274,
KMCB,Air Svcs of MS,601-684-8950,airservicesms@bellsouth.net,
KIGM,AIR'ZONA A/C SERVICE,928-757-7744,928-757-4744,"After hours 75.00 call out charge, 24/7 Self service avail. Over wing or central point. All major cc ok. No add.charge line serv.bus.hours"
KLUL,AIRCRAFT SERVICES,601-426-2626,,
KBRD,AIRMOTIVE ENTERPRISE,218-829-3398,,
KTAD,AIRPORT AUTH,719-846-6271,719-846-3901,
CYBC,AIRPORT AUTHORITY,418-589-8285,aeroport.dir@mrcmanicouagan.qc.ca,
KBIE,AIRPORT AUTHORITY,402-223-5349,,
MKBS,AIRPORT AUTHORITY,+1-876-975-3731/CHANTELLE (OPS) 876-806-0743,IOPERATIONS@AAJ.COM.JM,Until 6/2/2020-airport closed 1700-0700L for runway maintenance; **pilots check Runway 4767ft** NO luggage/no passenger
MYEG,AIRPORT AUTHORITY,242-345-0007,242-345-0007,
TJSJ,Airport Aviation Svcs,787-791-8500,info@tjsjfbo.com,open 7a-9p/OT on rqst
MYBG,AIRPORT MANAGER MR. WALLACE,1-242-817-7595,kwallace@airportsbahamas.com,
CYQM,AIRPORT TERMINAL SVCS,506-859-7721,mfowler@atsstl.com; gbabineau@atsstl.com,
KAKR,AIRSPECT AVIATION,330-794-8383,330-794-8042,
KDHN,AIRSPEED EXECUTIVE,334-983-4541,334-983-5965,
KLNS,AIRWAYS,800-247-8294,717-569-9734,800 # rings thru to a paging system for after Hrs.
MKJP,AIRWAYS,1-876-924-8190,reservations@airwaysintl.com,
KACP,ALLEN PARISH,318-215-0090,337-639-4326,
CYSN,ALLIED AVIATION SVCS,905-684-3600,niagara@alliedaviation.ca,
LGRP,Alpha Jet Svcs,+30-210-353-3331,greece@alphajetservices.com,After Hours: 30-6946-200300
KSLN,AMERICA JET,800-748-8260,785-825-6264,
VTSP,ANDAMAN AVIATION SVCS LTD,66-2-9841041,66-2-9841044,
KAID,ANDERSON AVIATION,765-644-1238,765-378-3340,
KLFK,ANGELINA CO. AIRPORT,936-634-7511,,
KANB,Anniston Aviation,256-831-4410,scott@annistonaviation.com,FLIGHT SERVICE HAS NIGHT #S
KRKP,ARANSAS CO AIRPORT,361-790-0141,,
KBHB,ARCADIA,207-667-5534,207-667-4222,
LIRA,ARGOS VIP,39-348-74-16-727,ops@argosvph.com,
LIRN,ARGOS VIP,+011-39-06-7934-0563,ops@argosvph.com,
